시장명,시장유형,위도,경도,점포수,공중화장실보유여부,주차장보유여부,개설연도
구미종합상가,상설장,36.13050981,128.3304431,54,Y,Y,1985
중앙시장,상설장,36.11902271,128.125383,60,Y,Y,1953
임실시장,상설장+5일장,35.61445375,127.2827133,67,Y,Y,1977
진안고원시장,상설장+5일장,35.79262491,127.4294275,70,Y,Y,1918
여수서시장주변시장,상설장+5일장,34.74075239,127.7283238,245,Y,Y,1932
완도남양시장(구 완도종합시장),상설장+5일장,34.31651727,126.7477207,27,Y,N,1990
군산공설시장,상설장,35.98316656,126.7203241,276,Y,Y,1918
양동경열로시장,상설장,35.15367146,126.900842,75,Y,Y,2012
중앙식료시장,상설장,34.79403892,126.3817975,78,Y,Y,1968
엄정내창시장,상설장+5일장,37.08639104,127.9158841,102,Y,Y,1980
삼승원남시장(원남재래시장),상설장+5일장,36.39692314,127.7331366,70,Y,Y,1964
신평시장,상설장+5일장,36.88353946,126.7759775,72,N,N,1927
대산종합시장,상설장,36.93800832,126.4339406,64,Y,Y,2000
중앙메가프라자,상설장,36.3267328,127.4339543,151,Y,Y,1973
송강전통시장,상설장,36.43519796,127.3866018,57,Y,Y,
송현자유시장,상설장,37.47577727,126.632816,91,Y,N,1962
학익시장,상설장,37.44350822,126.6649646,83,Y,Y,1962
청평화시장,상설장,37.5694651,127.0149417,1237,Y,Y,1983
서울중앙시장,상설장,37.5673831,127.0197632,65,Y,N,1962
동성타워프라자,상설장,37.60804247,127.0972055,76,Y,Y,1996
영등포유통상가,상설장,37.52242231,126.8939355,1560,Y,Y,1987
후암시장,상설장,37.55038071,126.9766339,43,Y,Y,1954
성대전통시장,상설장,37.4992128,126.9308577,100,Y,Y,1979
유진상가,상설장,37.59171586,126.9430235,61,Y,Y,1970
돈암시장,상설장,37.59166549,127.0157161,109,Y,N,1952
은행나무시장,상설장,37.4513186,126.9093496,52,N,Y,1966
답십리현대시장,상설장,37.56677553,127.058644,78,Y,Y,1970
역곡남부시장,상설장,37.48253123,126.8115462,68,Y,N,1983
돌고래시장,상설장,37.37153201,127.1221653,141,Y,Y,1993
성남남한산성시장(은행골목시장),상설장,37.4569514,127.1644284,70,N,N,2013
보성은하상가,상설장,35.82357763,128.5342978,34,Y,Y,1994
방촌시장,상설장,35.88130271,128.6644257,98,Y,Y,1982
산격종합시장,상설장,35.8986391,128.6103422,160,Y,N,1981
칠성전자주방시장,상설장,35.88023823,128.6015542,132,Y,Y,2017
황금시장,상설장,35.84839977,128.6199562,15,Y,Y,1981
교동시장,상설장,35.87370236,128.5983668,130,Y,Y,1971
옥수시장,상설장,34.87534685,128.7308743,55,Y,Y,2006
이동공설시장,상설장+5일장,34.80113755,127.9538197,28,Y,Y,1933
팔달문시장,상설장,37.27685014,127.0178829,220,Y,Y,2005
일죽시장,상설장,37.09336892,127.4784203,109,Y,Y,
양수리전통시장(양평양수리시장),상설장+5일장,37.54457048,127.3199621,176,Y,Y,1965
운천전통시장,상설장+5일장,38.08994227,127.2722253,48,Y,Y,1990
광덕시장,상설장,35.83719185,128.582417,100,Y,N,1971
북신전통시장,상설장,34.85415943,128.4275287,136,Y,Y,1986
장성시장,상설장,35.23744721,129.0855549,28,Y,N,1978
부산남문시장,상설장,35.13592329,129.0586847,199,Y,Y,1974
온천인정시장,상설장,35.22311521,129.0831563,81,Y,Y,2005
부전시장,상설장,35.16323429,129.0609058,344,Y,Y,1975
감전시장,상설장,35.1561407,128.984607,143,Y,Y,2017
감천2동시장,상설장,35.09387881,129.0088484,51,Y,Y,1979
삼천포용궁수산시장,상설장,34.92743545,128.0717569,270,Y,Y,2013
진주중앙시장,상설장,35.19391998,128.0848966,420,Y,Y,1884
대동씨코아상가시장,상설장,35.17975023,128.5624438,137,Y,Y,1993
가음정시장,상설장,35.20828431,128.6977985,184,Y,Y,2005
창원코아상가,상설장,35.22044112,128.6795378,119,Y,Y,1997
지귀시장,상설장+5일장,35.24568147,128.6588339,70,Y,N,2014
망미중앙시장,상설장,35.17568162,129.106878,104,Y,Y,1980
만물의거리시장,상설장,35.10148415,129.0285512,80,Y,Y,1960
신정상가시장,상설장,35.54197244,129.3090699,252,Y,N,2005
홍천중앙시장,상설장,37.69108298,127.886165,106,Y,N,1981
영암5일시장,5일장,34.80123497,126.7005743,121,Y,Y,1964
이양전통시장,5일장,34.88251292,126.9868713,13,Y,Y,1964
양남시장,5일장,35.67521448,129.4638468,92,Y,Y,1943
단촌정기시장,5일장,36.42254768,128.6739013,45,Y,N,1947
단계시장,5일장,35.37712433,128.0111488,26,Y,Y,1952
서동시장,상설장,35.58134597,129.3469851,81,Y,N,2009
삼척중앙시장,상설장+5일장,37.44211915,129.1646216,282,Y,Y,1975
정선아리랑시장,상설장+5일장,37.3803854,128.6652325,163,Y,Y,1966
서남시장,상설장,35.85436588,128.5451779,46,Y,Y,1984
감전제일상가시장,상설장,35.15632532,128.9845484,23,Y,N,1977
안의시장,5일장,35.62629354,127.8140359,10,Y,Y,1997
광시시장,5일장,36.54911843,126.7744244,10,Y,Y,1925
남평5일시장,5일장,35.04581389,126.8415451,38,Y,Y,2007
